Day,Date,Week,Start Time,Hour,Source,Purpose of contact,Description,Is the enquirer a student?,Category,Action Taken,Is the case forwarded to officer-in-charge?,Has the problem resolved?,Attended by,Closed by,End Date,End Time,,,,,,,,,,,,,,,
Monday,01/08/2022,1,12:38:00,12,Email,Enquiry,permintaan surat sekolah translate English,Yes,General,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,01/08/2022,1,15:45:00,15,Email,Transaction,registration for the SPI For August,No,Registration,pembayaran diterima,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,01/08/2022,1,14:50:00,14,Email,Enquiry,"Pertanyaan tentang buku, pembayaran dan hafalan",Yes,General,NA,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,01/08/2022,1,14:21:00,14,Email,Enquiry,Pertanyaan tentang buku,Yes,Books,Telah diberitahu buku tersebut belinya di mana,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,01/08/2022,1,10:21:00,10,Email,Enquiry,Change of Course from SPI to SLPI,Yes,Classes,Permintaan Transkrip untuk rujukan,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Monday,01/08/2022,1,20:11:00,20,Email,Enquiry,Pertanyaan tentang class ulangan disebabkan covid,Yes,Exams,Advised accordingly by ustaz Abdillah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,01/08/2022,1,14:21:00,14,Email,Enquiry,Pertanyaan tentang pembelian buku,Yes,Books,Advised accordingly,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,19:41:00,19,Email,Enquiry,Registration for DPI,Yes,Registration,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,01:13:00,1,Email,Enquiry,Registration for DPI,Yes,Registration,NA,Yes,Pending,NA,NA,NA,NA,,,,,,,,,,,,,,,
Tuesday,02/08/2022,1,10:27:00,10,Email,Enquiry,berminat registration untuk DPI,Yes,Registration,advised accordingly by ustazah hidayah,Yes,Yes,NA,NA,NA,NA,,,,,,,,,,,,,,,
